*Компания*;*Телефон компаний*;*Сайт компаний*;*Данные из регистра*
*Emil Catering Oy *;*+358445961676*;*-*;*{Kaupparekisteri   Rekisterissä   02.07.2014  |Verohallinnon perustiedot   Rekisterissä   02.07.2014  |}*
*Emscom Oy *;*040-5060001*;*-*;*{Kaupparekisteri   Rekisterissä   27.05.2008  |Verohallinnon perustiedot   Rekisterissä   10.03.2008  |Ennakkoperintärekisteri   Rekisterissä   03.03.2008  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   03.03.2008  |Työnantajarekisteri   Rekisterissä   01.06.2010  |}*
*Emtec Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   10.06.1992  |Verohallinnon perustiedot   Rekisterissä   07.07.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Emzia Oy *;*040-7150146*;*www.emzia.fi*;*{Kaupparekisteri   Rekisterissä   03.02.2012  |Verohallinnon perustiedot   Rekisterissä   08.02.2012  |Ennakkoperintärekisteri   Rekisterissä   01.02.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.02.2012  |Työnantajarekisteri   Rekisterissä   01.02.2012  |}*
*ENACC Group Oy *;*0465629558*;*enacc.eu*;*{Kaupparekisteri   Rekisterissä   30.09.2019  |Verohallinnon perustiedot   Rekisterissä   30.09.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   23.09.2019  |Työnantajarekisteri   Rekisterissä   23.09.2019  |}*
*Enelux Oy *;*0500 424250*;*-*;*{Kaupparekisteri   Rekisterissä   15.02.2008  |Verohallinnon perustiedot   Rekisterissä   13.02.2008  |Ennakkoperintärekisteri   Rekisterissä   01.03.2008  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.2008  |}*
*Enerlight Oy *;*0408419810*;*www.enerlight.fi*;*{Kaupparekisteri   Rekisterissä   10.12.2013  |Verohallinnon perustiedot   Rekisterissä   10.12.2013  |Ennakkoperintärekisteri   Rekisterissä   25.11.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   25.11.2013  |}*
*Enerpoint Engineering Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   13.09.1999  |Verohallinnon perustiedot   Rekisterissä   17.06.1999  |}*
*Enestam Kauppa Oy *;*-*;*www.enestam.fi*;*{Kaupparekisteri   Rekisterissä   16.06.2015  |Verohallinnon perustiedot   Rekisterissä   16.06.2015  |Ennakkoperintärekisteri   Rekisterissä   01.07.2015  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   11.06.2015  |Työnantajarekisteri   Rekisterissä   11.06.2015  |}*
*ENGEL Consulting Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   10.06.2019  |Verohallinnon perustiedot   Rekisterissä   10.06.2019  |Ennakkoperintärekisteri   Rekisterissä   03.06.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2019  |}*
*Enprima Engineering Oy *;*0403485511*;*www.afconsult.com*;*{Kaupparekisteri   Rekisterissä   17.12.1981  |Verohallinnon perustiedot   Rekisterissä   26.07.1982  |}*
*Ensiajokki Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   15.12.1993  |Verohallinnon perustiedot   Rekisterissä   16.02.1994  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*EP-Engineering Oy *;*0400-708433*;*www.ep-engineering.fi*;*{Kaupparekisteri   Rekisterissä   16.06.1993  |Verohallinnon perustiedot   Rekisterissä   11.10.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Työnantajarekisteri   Rekisterissä   01.01.2001  |}*
*EPNY SOFT OY *;*-*;*www.epnysoft.com*;*{Kaupparekisteri   Rekisterissä   16.04.2009  |Verohallinnon perustiedot   Rekisterissä   05.05.2009  |}*
*Epusoft Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   04.12.2012  |Verohallinnon perustiedot   Rekisterissä   04.12.2012  |Ennakkoperintärekisteri   Rekisterissä   01.01.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.12.2012  |}*
*Erakko-Tuote Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.11.1991  |Verohallinnon perustiedot   Rekisterissä   31.12.1991  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   31.05.1996  |}*
*Ereco Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   19.12.2012  |Verohallinnon perustiedot   Rekisterissä   20.12.2012  |Ennakkoperintärekisteri   Rekisterissä   01.01.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2013  |}*
*Erestee Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.07.1973  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   29.12.1997  |}*
*Erreon Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   09.01.2019  |Verohallinnon perustiedot   Rekisterissä   10.01.2019  |}*
* *;*-*;*-*;*{Verohallinnon perustiedot   Rekisterissä   11.01.2013  |}*
*Esdata Invest Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   30.07.2009  |Verohallinnon perustiedot   Rekisterissä   06.08.2009  |}*
*Espoon Maisemaraivaus Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   21.06.1989  |Verohallinnon perustiedot   Rekisterissä   09.08.1989  |}*
*EST Energy Save Technologies Oy *;*0406634355*;*www.ensavetec.com*;*{Kaupparekisteri   Rekisterissä   12.09.2014  |Verohallinnon perustiedot   Rekisterissä   12.09.2014  |Ennakkoperintärekisteri   Rekisterissä   15.08.2014  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   15.08.2014  |}*
*Estado Oy *;*0406494125*;*www.stailaus.fi*;*{Kaupparekisteri   Rekisterissä   05.03.2018  |Verohallinnon perustiedot   Rekisterissä   05.03.2018  |Ennakkoperintärekisteri   Rekisterissä   20.04.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   09.02.2018  |}*
*Etec Property Management Oy *;*0504101270*;*www.etec.fi*;*{Kaupparekisteri   Rekisterissä   04.02.2011  |Verohallinnon perustiedot   Rekisterissä   04.02.2011  |Ennakkoperintärekisteri   Rekisterissä   13.01.2011  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2011  |}*
*Etelä-Savon Sähkö Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   28.06.1989  |Verohallinnon perustiedot   Rekisterissä   12.05.1989  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.05.1989  |}*
*Etäyhteys Pace Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   24.03.1993  |Verohallinnon perustiedot   Rekisterissä   19.04.1993  |Ennakkoperintärekisteri   Rekisterissä   14.01.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.06.1993  |}*
*EURO DESIGN OY *;*041 4301868*;*-*;*{Kaupparekisteri   Rekisterissä   20.09.2010  |Verohallinnon perustiedot   Rekisterissä   23.08.2010  |}*
*EURO-GSM Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   19.05.1993  |Verohallinnon perustiedot   Rekisterissä   13.09.1993  |}*
*European Label Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   20.05.1992  |Verohallinnon perustiedot   Rekisterissä   12.10.1992  |}*
*Europort Oy *;*+358414594666*;*-*;*{Kaupparekisteri   Rekisterissä   03.10.1947  |Verohallinnon perustiedot   Rekisterissä   15.03.1978  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.04.2002  |Työnantajarekisteri   Rekisterissä   01.01.1969  |}*
*Euroraivaus Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   17.06.1992  |Verohallinnon perustiedot   Rekisterissä   16.10.1992  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.01.2001  |}*
*Eurovalmiste Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   22.09.1978  |Verohallinnon perustiedot   Rekisterissä   05.01.1979  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Eutor Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   21.07.1993  |Verohallinnon perustiedot   Rekisterissä   09.06.1993  |Ennakkoperintärekisteri   Rekisterissä   01.12.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Eva Ennit Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   03.06.1987  |Verohallinnon perustiedot   Rekisterissä   20.10.1987  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Everlasting Freeride ry *;*-*;*-*;*{Yhdistysrekisteri   Rekisterissä   03.10.2011  |}*
*Oy EVI-Sound Ab *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   24.03.1993  |Verohallinnon perustiedot   Rekisterissä   20.10.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |}*
*Evolum Oy *;*040 7373736*;*evolum.fi*;*{Kaupparekisteri   Rekisterissä   02.03.1998  |Verohallinnon perustiedot   Rekisterissä   04.03.1998  |Ennakkoperintärekisteri   Rekisterissä   04.03.1998  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.1998  |}*
*Excellant Oy *;*+358445551986*;*www.excellant.fi*;*{Kaupparekisteri   Rekisterissä   30.04.2018  |Verohallinnon perustiedot   Rekisterissä   02.05.2018  |Ennakkoperintärekisteri   Rekisterissä   01.05.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.2018  |Työnantajarekisteri   Rekisterissä   01.05.2018  |}*
*Exens Development Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   19.09.1990  |Verohallinnon perustiedot   Rekisterissä   29.11.1990  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.02.1991  |}*
*Exoco Oy *;*04008358509*;*-*;*{Kaupparekisteri   Rekisterissä   14.01.2009  |Verohallinnon perustiedot   Rekisterissä   07.01.2009  |}*
*EXTO Rakennuspalvelut Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   04.04.2016  |Verohallinnon perustiedot   Rekisterissä   05.04.2016  |Ennakkoperintärekisteri   Rekisterissä   16.03.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   16.03.2016  |}*
*EXVIRA Oy *;*040 5626099*;*www.exvira.fi*;*{Kaupparekisteri   Rekisterissä   16.08.2010  |Verohallinnon perustiedot   Rekisterissä   25.08.2010  |Ennakkoperintärekisteri   Rekisterissä   01.09.2010  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.09.2010  |Työnantajarekisteri   Rekisterissä   01.09.2010  |}*
*Eyesap Solutions Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   13.04.2017  |Verohallinnon perustiedot   Rekisterissä   13.04.2017  |Ennakkoperintärekisteri   Rekisterissä   01.05.2017  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.2017  |Työnantajarekisteri   Rekisterissä   01.07.2017  |}*
*Ezana Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   28.03.2017  |Verohallinnon perustiedot   Rekisterissä   29.03.2017  |}*
*Oy Fabripap Ab *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.03.1994  |Verohallinnon perustiedot   Rekisterissä   09.03.1994  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2005  |}*
*Fahlcon Consulting Oy *;*0400578158*;*-*;*{Kaupparekisteri   Rekisterissä   29.06.1994  |Verohallinnon perustiedot   Rekisterissä   04.10.1994  |Ennakkoperintärekisteri   Rekisterissä   15.08.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.1994  |}*
*Oy Faktapro Ab *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   02.02.1994  |Verohallinnon perustiedot   Rekisterissä   14.02.1994  |Ennakkoperintärekisteri   Rekisterissä   01.02.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2001  |}*
*Falck Textile Oy *;*0500 758097*;*-*;*{Kaupparekisteri   Rekisterissä   11.12.1991  |Verohallinnon perustiedot   Rekisterissä   01.11.1991  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.01.1992  |}*
*Falk Group Finland - Enlund Oy *;*0500-330741*;*-*;*{Kaupparekisteri   Rekisterissä   20.02.1996  |Verohallinnon perustiedot   Rekisterissä   20.02.1996  |Ennakkoperintärekisteri   Rekisterissä   01.04.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.04.1996  |}*
*Porin Fashion Agency Maria Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   12.03.1997  |Verohallinnon perustiedot   Rekisterissä   12.12.1996  |Ennakkoperintärekisteri   Rekisterissä   02.12.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.12.1996  |}*
*Fashion Consulting Company FCC Oy *;*0400485117*;*-*;*{Kaupparekisteri   Rekisterissä   21.09.1988  |Verohallinnon perustiedot   Rekisterissä   06.05.1988  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Fashionpark Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   08.05.2018  |Verohallinnon perustiedot   Rekisterissä   08.05.2018  |Ennakkoperintärekisteri   Rekisterissä   29.04.2018  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   29.04.2018  |}*
*FatCloth Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   05.01.2012  |Verohallinnon perustiedot   Rekisterissä   09.01.2012  |Ennakkoperintärekisteri   Rekisterissä   01.01.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2012  |}*
*Felicia N. Grönholm *;*+358400454116*;*-*;*{Kaupparekisteri   Rekisterissä   14.03.2019  |Verohallinnon perustiedot   Rekisterissä   13.03.2019  |Ennakkoperintärekisteri   Rekisterissä   13.03.2019  |}*
*Felotek Oy *;*040 4100 424*;*www.felotek.fi*;*{Kaupparekisteri   Rekisterissä   10.05.2019  |Verohallinnon perustiedot   Rekisterissä   10.05.2019  |Ennakkoperintärekisteri   Rekisterissä   02.05.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.05.2019  |}*
*Femlux Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   07.12.2007  |Verohallinnon perustiedot   Rekisterissä   26.09.2007  |Ennakkoperintärekisteri   Rekisterissä   21.09.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   20.09.2007  |}*
*Fenntron Oy *;*-*;*www.fenntron.com*;*{Kaupparekisteri   Rekisterissä   13.12.1995  |Verohallinnon perustiedot   Rekisterissä   25.09.1995  |}*
*Feriko Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   31.07.2012  |Verohallinnon perustiedot   Rekisterissä   08.08.2012  |Ennakkoperintärekisteri   Rekisterissä   01.09.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.08.2012  |Työnantajarekisteri   Rekisterissä   01.09.2012  |}*
*Fermel Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   07.04.1993  |Verohallinnon perustiedot   Rekisterissä   24.08.1992  |}*
*Fiabeli Oy *;*0400 472911*;*-*;*{Kaupparekisteri   Rekisterissä   07.07.1993  |Verohallinnon perustiedot   Rekisterissä   07.07.1993  |Ennakkoperintärekisteri   Rekisterissä   01.10.2006  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.2006  |}*
*Fiafor Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   21.12.2011  |Verohallinnon perustiedot   Rekisterissä   22.12.2011  |}*
*Figurelle Finland Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   30.08.2016  |Verohallinnon perustiedot   Rekisterissä   07.09.2016  |Ennakkoperintärekisteri   Rekisterissä   01.09.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.10.2016  |}*
*Filmona Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   03.11.1993  |Verohallinnon perustiedot   Rekisterissä   13.12.1993  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   07.02.2017  |Työnantajarekisteri   Rekisterissä   01.02.2001  |}*
*Finalfa Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   11.07.2005  |Verohallinnon perustiedot   Rekisterissä   06.07.2005  |Ennakkoperintärekisteri   Rekisterissä   16.12.2005  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   09.12.2005  |Työnantajarekisteri   Rekisterissä   01.01.2006  |}*
*Finko Design Oy *;*040-9000425*;*-*;*{Kaupparekisteri   Rekisterissä   21.01.2013  |Verohallinnon perustiedot   Rekisterissä   05.02.2013  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   07.01.2013  |}*
*FinMA - Service Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   27.03.2019  |Verohallinnon perustiedot   Rekisterissä   27.03.2019  |Ennakkoperintärekisteri   Rekisterissä   01.04.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   06.03.2019  |}*
*FinMit Oy *;*0447477770*;*-*;*{Kaupparekisteri   Rekisterissä   08.03.2007  |Verohallinnon perustiedot   Rekisterissä   08.03.2007  |Ennakkoperintärekisteri   Rekisterissä   02.03.2007  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   28.02.2007  |}*
*Finmoi Oy *;*-*;*finmoi.fi*;*{Kaupparekisteri   Rekisterissä   18.08.2016  |Verohallinnon perustiedot   Rekisterissä   22.08.2016  |Ennakkoperintärekisteri   Rekisterissä   09.08.2016  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   09.08.2016  |}*
*Finn Component Trading Oy *;*0505293001*;*www.fct.fi*;*{Kaupparekisteri   Rekisterissä   03.06.2003  |Verohallinnon perustiedot   Rekisterissä   13.03.2003  |Ennakkoperintärekisteri   Rekisterissä   07.03.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   07.03.2003  |}*
*Finnegrip Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   18.05.1994  |Verohallinnon perustiedot   Rekisterissä   03.06.1994  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |Työnantajarekisteri   Rekisterissä   01.07.1994  |}*
*Finnpurku Oy *;*-*;*www.finnpurku.fi*;*{Kaupparekisteri   Rekisterissä   19.01.2015  |Verohallinnon perustiedot   Rekisterissä   09.02.2015  |Ennakkoperintärekisteri   Rekisterissä   01.01.2015  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2015  |}*
*Finnspark Oy *;*-*;*www.finnspark.fi*;*{Kaupparekisteri   Rekisterissä   10.02.2012  |Verohallinnon perustiedot   Rekisterissä   13.02.2012  |Ennakkoperintärekisteri   Rekisterissä   01.02.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.02.2012  |}*
*Finnteam OY *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   29.10.2019  |Verohallinnon perustiedot   Rekisterissä   29.10.2019  |Ennakkoperintärekisteri   Rekisterissä   04.10.2019  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   04.10.2019  |Työnantajarekisteri   Rekisterissä   04.10.2019  |}*
*FINNTOLOGY Oy *;*-*;*www.finntology.com*;*{Kaupparekisteri   Rekisterissä   14.08.2008  |Verohallinnon perustiedot   Rekisterissä   15.08.2008  |Ennakkoperintärekisteri   Rekisterissä   17.04.2009  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.02.2009  |}*
*FinPARO Oy *;*+358505564443*;*www.finparo.com*;*{Kaupparekisteri   Rekisterissä   02.12.2009  |Verohallinnon perustiedot   Rekisterissä   27.01.2010  |}*
*Oy Finsk Kraftrevision Ab *;*040-1687769*;*www.energiatarkistus.fi*;*{Kaupparekisteri   Rekisterissä   28.06.2011  |Verohallinnon perustiedot   Rekisterissä   29.06.2011  |}*
*Fintec Engineering Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   23.05.1990  |Verohallinnon perustiedot   Rekisterissä   23.04.1990  |}*
*First Unit Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   19.06.1991  |Verohallinnon perustiedot   Rekisterissä   19.08.1991  |Ennakkoperintärekisteri   Rekisterissä   01.03.1995  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.1994  |}*
*Five Pocket Oy *;*0415152007*;*-*;*{Kaupparekisteri   Rekisterissä   08.01.2004  |Verohallinnon perustiedot   Rekisterissä   05.01.2004  |Ennakkoperintärekisteri   Rekisterissä   15.12.2003  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.12.2003  |Työnantajarekisteri   Rekisterissä   01.01.2005  |}*
*FIXULUX OY *;*-*;*www.fixulux.fi*;*{Kaupparekisteri   Rekisterissä   06.02.2015  |Verohallinnon perustiedot   Rekisterissä   10.02.2015  |Ennakkoperintärekisteri   Rekisterissä   01.03.2015  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.03.2015  |Työnantajarekisteri   Rekisterissä   01.05.2016  |}*
*Flairline Oy *;*040-5832025*;*-*;*{Kaupparekisteri   Rekisterissä   06.06.1996  |Verohallinnon perustiedot   Rekisterissä   23.04.1996  |Ennakkoperintärekisteri   Rekisterissä   01.05.1996  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.05.1996  |Työnantajarekisteri   Rekisterissä   01.01.2006  |}*
*Flink Engineering Ab Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   01.08.2012  |Verohallinnon perustiedot   Rekisterissä   07.09.2012  |Ennakkoperintärekisteri   Rekisterissä   12.07.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   02.07.2012  |}*
*Flink Service Ab Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   30.07.2002  |Verohallinnon perustiedot   Rekisterissä   04.07.2002  |Ennakkoperintärekisteri   Rekisterissä   08.07.2002  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.06.2002  |}*
*Oy Flintstones Ab *;*0500-561237*;*-*;*{Kaupparekisteri   Rekisterissä   13.09.2005  |Verohallinnon perustiedot   Rekisterissä   09.09.2005  |}*
*Oy Focus ICT Ab *;*044-7847200*;*-*;*{Kaupparekisteri   Rekisterissä   01.09.2005  |Verohallinnon perustiedot   Rekisterissä   05.09.2005  |Ennakkoperintärekisteri   Rekisterissä   25.08.2005  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   25.08.2005  |Työnantajarekisteri   Rekisterissä   01.01.2007  |}*
*Aalto-yliopiston kauppatieteiden ylioppilaiden säätiö sr *;*0400241961*;*www.ky-saatio.fi*;*{Säätiörekisteri   Rekisterissä   03.09.2008  |Verohallinnon perustiedot   Rekisterissä   14.08.2008  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   09.02.2010  |Työnantajarekisteri   Rekisterissä   01.09.2010  |}*
*Forestor Oy *;*-*;*www.tvtools.fi*;*{Kaupparekisteri   Rekisterissä   30.06.2008  |Verohallinnon perustiedot   Rekisterissä   14.07.2008  |Ennakkoperintärekisteri   Rekisterissä   25.03.2011  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2011  |Työnantajarekisteri   Rekisterissä   01.05.2012  |}*
*Forssan Datapiste Oy *;*0503713538*;*-*;*{Kaupparekisteri   Rekisterissä   10.04.2012  |Verohallinnon perustiedot   Rekisterissä   12.04.2012  |}*
*Forssan Rakennuspiste Oy *;*0400425637*;*-*;*{Kaupparekisteri   Rekisterissä   28.06.2010  |Verohallinnon perustiedot   Rekisterissä   14.06.2010  |}*
*fountVR Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   11.11.2016  |Verohallinnon perustiedot   Rekisterissä   30.11.2016  |}*
*FP-Osakevarastot Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   24.01.1990  |Verohallinnon perustiedot   Rekisterissä   12.09.1990  |Arvonlisäverovelvollisuus   Kiinteistön käyttöoikeuden luovuttamisesta   01.04.2013  |}*
*FRETOLI OY *;*0505252225*;*-*;*{Kaupparekisteri   Rekisterissä   20.01.2012  |Verohallinnon perustiedot   Rekisterissä   23.01.2012  |}*
*Frida Company Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   12.03.2014  |Verohallinnon perustiedot   Rekisterissä   12.03.2014  |}*
*Fuseon Oy *;*040 5589618*;*-*;*{Kaupparekisteri   Rekisterissä   18.01.2012  |Verohallinnon perustiedot   Rekisterissä   17.01.2012  |Ennakkoperintärekisteri   Rekisterissä   01.01.2012  |Arvonlisäverovelvollisuus   Liiketoiminnasta arvonlisäverovelvollinen   01.01.2012  |}*
*Future Standard Mindmachines Oy *;*-*;*-*;*{Kaupparekisteri   Rekisterissä   23.07.1997  |Verohallinnon perustiedot   Rekisterissä   23.09.1997  |}*
